Gemeinde,Ausländische Arbeitslose,Langzeitarbeitslose,Beschäftigtenquote Ausländer,Beschäftigtenquote,Ausländeranteil,Einbürgerungen je Einwohner,Einbürgerungen je Ausländer,Schutzsuchende an Bevölkerung,Schutzsuchende an ausländischer Bevölkerung,(SDG 10) Beschäftigungsquote - Ausländer,(SDG 10) Einbürgerungen,(SDG 8) Beschäftigungsquote - 15- bis 64-Jährige,Stimmenanteile AfD,Asylbewerber
"Landshut, Stadt",48.86,26.09,75.75,72.35,22.04,2.2,10.81,3.96,17.99,75.75,1.08,72.35,17.52,5.02
"Passau, Stadt",43.53,23.65,55.42,59.92,21.55,2.06,12.0,4.22,19.57,55.42,1.2,59.92,18.01,4.25
Straubing,37.83,27.37,70.15,68.78,21.9,1.2,6.74,3.31,15.13,70.15,0.67,68.78,25.01,5.05
Deggendorf,27.11,19.79,61.58,67.79,12.2,0.95,9.67,4.25,34.82,61.58,0.97,67.79,28.26,6.77
Freyung-Grafenau,26.58,17.19,52.71,66.83,6.99,0.31,5.66,1.6,22.88,52.71,0.57,66.83,30.35,5.48
Kelheim,40.1,23.24,67.42,69.24,14.4,0.95,7.26,2.11,14.65,67.42,0.73,69.24,24.12,4.42
Passau,32.53,20.74,59.37,66.8,10.36,0.8,9.11,2.27,21.9,59.37,0.91,66.8,27.65,6.29
Regen,29.3,20.76,55.99,66.67,8.14,0.27,3.97,2.43,29.81,55.99,0.4,66.67,31.29,3.74
Rottal-Inn,37.4,26.78,68.15,69.14,11.76,0.98,8.9,2.42,20.55,68.15,0.89,69.14,24.16,4.48
Straubing-Bogen,30.13,21.36,78.49,69.41,9.08,0.67,8.46,1.32,14.5,78.49,0.85,69.41,26.09,4.11
Dingolfing-Landau,37.39,23.77,77.72,72.31,15.25,0.6,4.7,2.17,14.26,77.72,0.47,72.31,28.81,8.54
