Kennziffer;Raumeinheit;Aggregat;Stimmenanteile AfD;Geburten junger Mütter (<20 Jahre);Geburten älterer Mütter (>=40 Jahre);Haushalte mit Kindern
;;;2025;2023;2023;2023
"03458";"Oldenburg";"Kreise";"17,26";"3,81";"15,68";"32,61"
"05119";"Oberhausen, Stadt";"Kreise";"21,50";"7,72";"10,36";"29,40"
"05374";"Oberbergischer Kreis";"Kreise";"21,19";"3,74";"11,09";"34,35"
"09261";"Landshut, Stadt";"Kreise";"17,52";"3,79";"21,60";"22,71"
"09262";"Passau, Stadt";"Kreise";"18,01";"7,87";"10,46";"19,26"
"09263";"Straubing";"Kreise";"25,01";"11,87";"11,00";"22,70"
"09271";"Deggendorf";"Kreise";"28,26";"3,66";"11,95";"29,90"
"09272";"Freyung-Grafenau";"Kreise";"30,35";"2,49";"12,89";"32,89"
"09273";"Kelheim";"Kreise";"24,12";"5,03";"8,44";"33,58"
"09274";"Landshut";"Kreise";"23,13";"2,34";"14,63";"33,72"
"09275";"Passau";"Kreise";"27,65";"3,47";"10,36";"32,08"
"09276";"Regen";"Kreise";"31,29";"5,78";"11,08";"31,04"
"09277";"Rottal-Inn";"Kreise";"24,16";"4,67";"12,78";"32,07"
"09278";"Straubing-Bogen";"Kreise";"26,09";"3,68";"10,81";"36,86"
"09279";"Dingolfing-Landau";"Kreise";"28,81";"1,79";"10,24";"32,98"
"09363";"Weiden i.d.OPf.";"Kreise";"24,62";"4,30";"16,39";"22,61"
"09375";"Regensburg";"Kreise";"21,95";"3,63";"10,32";"32,93"
"09564";"Nürnberg";"Kreise";"15,52";"6,77";"15,01";"24,97"
"09678";"Schweinfurt";"Kreise";"21,06";"5,32";"9,87";"33,95"
"10046";"St. Wendel";"Kreise";"19,27";"5,38";"10,66";"32,91"
"12065";"Oberhavel";"Kreise";"30,94";"4,75";"10,85";"29,94"
"12066";"Oberspreewald-Lausitz";"Kreise";"41,18";"10,51";"9,51";"24,92"
"12071";"Spree-Neiße";"Kreise";"43,03";"1,92";"9,51";"26,99"
"15090";"Stendal";"Kreise";"38,45";"13,50";"8,62";"27,10"
