Kennziffer;Raumeinheit;Aggregat;Stimmenanteile AfD;Straftaten;(SDG 16) Straftaten
;;;2025;2022;2022
"03458";"Oldenburg";"Kreise";"17,26";"4.414,45";"44,14"
"05119";"Oberhausen, Stadt";"Kreise";"21,50";"7.787,03";"77,87"
"05374";"Oberbergischer Kreis";"Kreise";"21,19";"4.570,34";"45,70"
"09261";"Landshut, Stadt";"Kreise";"17,52";"7.309,84";"73,10"
"09262";"Passau, Stadt";"Kreise";"18,01";"12.144,54";"121,45"
"09263";"Straubing";"Kreise";"25,01";"7.149,70";"71,50"
"09271";"Deggendorf";"Kreise";"28,26";"6.281,07";"62,81"
"09272";"Freyung-Grafenau";"Kreise";"30,35";"2.813,64";"28,14"
"09273";"Kelheim";"Kreise";"24,12";"2.709,49";"27,09"
"09274";"Landshut";"Kreise";"23,13";"2.287,59";"22,88"
"09275";"Passau";"Kreise";"27,65";"3.587,11";"35,87"
"09276";"Regen";"Kreise";"31,29";"2.870,86";"28,71"
"09277";"Rottal-Inn";"Kreise";"24,16";"3.855,20";"38,55"
"09278";"Straubing-Bogen";"Kreise";"26,09";"2.608,97";"26,09"
"09279";"Dingolfing-Landau";"Kreise";"28,81";"2.956,52";"29,57"
"09363";"Weiden i.d.OPf.";"Kreise";"24,62";"7.223,50";"72,23"
"09375";"Regensburg";"Kreise";"21,95";"2.389,76";"23,90"
"09564";"Nürnberg";"Kreise";"15,52";"7.428,39";"74,28"
"09678";"Schweinfurt";"Kreise";"21,06";"5.599,18";"55,99"
"10046";"St. Wendel";"Kreise";"19,27";"3.881,60";"38,82"
"12065";"Oberhavel";"Kreise";"30,94";"5.648,17";"56,48"
"12066";"Oberspreewald-Lausitz";"Kreise";"41,18";"5.660,41";"56,60"
"12071";"Spree-Neiße";"Kreise";"43,03";"7.301,75";"73,02"
"15090";"Stendal";"Kreise";"38,45";"7.264,89";"72,65"
