Kennziffer;Raumeinheit;Aggregat;Ausländische Arbeitslose;Langzeitarbeitslose;Beschäftigtenquote Ausländer;Beschäftigtenquote;Ausländeranteil;Einbürgerungen je Einwohner;Einbürgerungen je Ausländer;Schutzsuchende an Bevölkerung;Schutzsuchende an ausländischer Bevölkerung;(SDG 10) Beschäftigungsquote - Ausländer;(SDG 10) Einbürgerungen;(SDG 8) Beschäftigungsquote - 15- bis 64-Jährige;Stimmenanteile AfD;Asylbewerber
;;;2023;2023;2023;2023;2023;2020;2020;2023;2023;2023;2020;2023;2025;2023
"03458";"Oldenburg";"Kreise";"30,25";"27,29";"71,47";"70,06";"9,48";"0,73";"8,28";"3,62";"38,20";"71,47";"0,83";"70,06";"17,26";"6,52"
"05119";"Oberhausen, Stadt";"Kreise";"40,18";"49,14";"43,43";"57,51";"17,62";"0,74";"4,70";"5,09";"28,89";"43,43";"0,47";"57,51";"21,50";"1,92"
"05374";"Oberbergischer Kreis";"Kreise";"32,99";"38,60";"53,84";"65,57";"11,01";"0,88";"8,88";"3,49";"31,73";"53,84";"0,89";"65,57";"21,19";"4,64"
"09261";"Landshut, Stadt";"Kreise";"48,86";"26,09";"75,75";"72,35";"22,04";"2,20";"10,81";"3,96";"17,99";"75,75";"1,08";"72,35";"17,52";"5,02"
"09262";"Passau, Stadt";"Kreise";"43,53";"23,65";"55,42";"59,92";"21,55";"2,06";"12,00";"4,22";"19,57";"55,42";"1,20";"59,92";"18,01";"4,25"
"09263";"Straubing";"Kreise";"37,83";"27,37";"70,15";"68,78";"21,90";"1,20";"6,74";"3,31";"15,13";"70,15";"0,67";"68,78";"25,01";"5,05"
"09271";"Deggendorf";"Kreise";"27,11";"19,79";"61,58";"67,79";"12,20";"0,95";"9,67";"4,25";"34,82";"61,58";"0,97";"67,79";"28,26";"6,77"
"09272";"Freyung-Grafenau";"Kreise";"26,58";"17,19";"52,71";"66,83";"6,99";"0,31";"5,66";"1,60";"22,88";"52,71";"0,57";"66,83";"30,35";"5,48"
"09273";"Kelheim";"Kreise";"40,10";"23,24";"67,42";"69,24";"14,40";"0,95";"7,26";"2,11";"14,65";"67,42";"0,73";"69,24";"24,12";"4,42"
"09274";"Landshut";"Kreise";"35,55";"27,59";"73,25";"71,01";"11,44";"0,86";"8,14";"1,64";"14,37";"73,25";"0,81";"71,01";"23,13";"3,13"
"09275";"Passau";"Kreise";"32,53";"20,74";"59,37";"66,80";"10,36";"0,80";"9,11";"2,27";"21,90";"59,37";"0,91";"66,80";"27,65";"6,29"
"09276";"Regen";"Kreise";"29,30";"20,76";"55,99";"66,67";"8,14";"0,27";"3,97";"2,43";"29,81";"55,99";"0,40";"66,67";"31,29";"3,74"
"09277";"Rottal-Inn";"Kreise";"37,40";"26,78";"68,15";"69,14";"11,76";"0,98";"8,90";"2,42";"20,55";"68,15";"0,89";"69,14";"24,16";"4,48"
"09278";"Straubing-Bogen";"Kreise";"30,13";"21,36";"78,49";"69,41";"9,08";"0,67";"8,46";"1,32";"14,50";"78,49";"0,85";"69,41";"26,09";"4,11"
"09279";"Dingolfing-Landau";"Kreise";"37,39";"23,77";"77,72";"72,31";"15,25";"0,60";"4,70";"2,17";"14,26";"77,72";"0,47";"72,31";"28,81";"8,54"
"09363";"Weiden i.d.OPf.";"Kreise";"36,44";"25,38";"56,75";"65,65";"15,98";"1,29";"9,72";"4,86";"30,38";"56,75";"0,97";"65,65";"24,62";"8,48"
"09375";"Regensburg";"Kreise";"34,75";"19,75";"66,43";"70,47";"10,46";"0,62";"6,79";"1,58";"15,07";"66,43";"0,68";"70,47";"21,95";"7,74"
"09564";"Nürnberg";"Kreise";"50,94";"27,68";"61,63";"66,00";"25,71";"3,25";"13,75";"5,15";"20,04";"61,63";"1,38";"66,00";"15,52";"7,30"
"09678";"Schweinfurt";"Kreise";"23,64";"26,36";"58,00";"71,21";"7,62";"0,44";"6,58";"8,10";"106,32";"58,00";"0,66";"71,21";"21,06";"16,00"
"10046";"St. Wendel";"Kreise";"32,93";"29,55";"40,23";"62,68";"8,04";"0,51";"9,06";"0,00";"0,00";"40,23";"0,91";"62,68";"19,27";"3,75"
"12065";"Oberhavel";"Kreise";"23,22";"40,99";"54,65";"66,33";"5,56";"0,40";"9,34";"2,31";"41,60";"54,65";"0,93";"66,33";"30,94";"3,98"
"12066";"Oberspreewald-Lausitz";"Kreise";"13,88";"39,62";"46,88";"68,06";"5,30";"0,13";"3,59";"2,13";"40,25";"46,88";"0,36";"68,06";"41,18";"3,32"
"12071";"Spree-Neiße";"Kreise";"17,59";"40,59";"46,08";"68,65";"4,60";"0,14";"3,80";"0,00";"0,00";"46,08";"0,38";"68,65";"43,03";"4,75"
"15090";"Stendal";"Kreise";"13,64";"41,38";"34,15";"65,83";"5,02";"0,70";"18,32";"3,24";"64,53";"34,15";"1,83";"65,83";"38,45";"5,57"
